MittelwertX=88.752662MittelwertY=0 MittelwertZ=3.039943

X Y Z
89.0945 0 2.93599 
89.3246 0 2.9998 
89.2739 0 2.79367 
89.5036 0 3.63206 
89.9809 0 3.512 
89.2664 0 3.5524 
87.6767 0 0.381072 
89.6293 0 3.49865 
88.3007 0 3.08731 
89.3196 0 3.06715 
89.6132 0 3.35879 
84.6629 0 3.23995 
88.7318 0 3.34751 
88.8058 0 3.45257 
89.8744 0 3.70727 
89.9289 0 3.38611 
89.9962 0 3.11259 
87.2819 0 2.93724 
88.9556 0 3.26776 
89.0945 0 2.10518 
89.3246 0 2.93599 
89.2739 0 2.9998 
89.5036 0 2.79367 
89.9809 0 3.63206 
89.2664 0 1.85297 
87.6767 0 3.512 
89.6293 0 3.5524 
88.3007 0 0.381072 
89.3196 0 3.49865 
89.6132 0 3.08731 
89.8293 0 3.06715 
84.6629 0 3.35879 
88.7318 0 3.23995 
88.8058 0 3.34751 
89.8744 0 3.45257 
89.9289 0 3.70727 
89.9962 0 3.38611 
87.2819 0 3.11259 
88.9556 0 2.93724 
89.0945 0 3.26776 
89.3246 0 2.10518 
89.2739 0 2.93599 
89.5036 0 2.9998 
89.9809 0 2.79367 
89.2664 0 3.63206 
87.6767 0 1.85297 
89.6293 0 3.14064 
88.3007 0 3.512 
89.3196 0 3.5524 
89.6132 0 0.381072 
89.8293 0 3.49865 
89.8595 0 3.08731 
  0 3.06715 
  0 3.35879 
  0 3.23995 
  0 3.34751 
  0 3.45257 
  0 3.70727 
  0 3.38611 
  0 3.11259 
  0 2.93724 
  0 3.26776 
  0 2.10518 
  0 2.93599 
  0 2.9998 
  0 2.79367 
  0 3.63206 
  0 1.85297 
  0 3.14064 
  0 3.18781 
