X Y Z Distanz Orientierung Zeitstempel
0 0 0 0 83.5 5804.94
0 0 0 0 83.6 5804.94
0 0 0 2162 83.7 5804.94
0 0 0 2206 83.8 5804.94
233.887 2188.54 0 2201 83.9 5804.94
229.754 2185.96 0 2198 84 5804.94
0 0 0 2207 84.1 5804.94
0 0 0 0 84.2 5804.94
0 0 0 0 84.3 5804.94
211.852 2160.64 0 2171 84.4 5804.94
211.915 2200.82 0 2211 84.5 5804.94
207.038 2190.24 0 2200 84.6 5804.94
201.83 2175.66 0 2185 84.7 5804.94
199.845 2195.93 0 2205 84.8 5804.94
196.812 2205.23 0 2214 84.9 5804.94
195.142 2230.48 0 2239 85 5804.94
190.821 2225.84 0 2234 85.1 5804.94
184.844 2201.25 0 2209 85.2 5804.94
183.051 2226.49 0 2234 85.3 5804.94
178.282 2215.84 0 2223 85.4 5804.94
0 0 0 0 85.5 5804.94
0 0 0 0 85.6 5804.94
0 0 0 0 85.7 5804.94
0 0 0 0 85.8 5804.94
0 0 0 0 85.9 5804.94
0 0 0 0 86 5804.94
0 0 0 0 86.1 5804.94
0 0 0 0 86.2 5804.94
0 0 0 0 86.3 5804.94
0 0 0 0 86.4 5804.94
0 0 0 0 86.5 5804.94
0 0 0 2175 86.6 5804.94
0 0 0 2110 86.7 5804.94
0 0 0 0 86.8 5804.94
0 0 0 0 86.9 5804.94
0 0 0 0 87 5804.94
0 0 0 0 87.1 5804.94
0 0 0 0 87.2 5804.94
0 0 0 0 87.3 5804.94
0 0 0 0 87.4 5804.94
0 0 0 0 87.5 5804.94
0 0 0 0 87.6 5804.94
0 0 0 0 87.7 5804.94
0 0 0 0 87.8 5804.94
0 0 0 0 87.9 5804.94
0 0 0 0 88 5804.94
0 0 0 0 88.1 5804.94
0 0 0 0 88.2 5804.94
0 0 0 0 88.3 5804.94
0 0 0 0 88.4 5804.94
0 0 0 0 88.5 5804.94
0 0 0 0 88.6 5804.94
0 0 0 0 88.7 5804.94
0 0 0 0 88.8 5804.94
0 0 0 0 88.9 5804.94
0 0 0 0 89 5804.94
0 0 0 0 89.1 5804.94
0 0 0 0 89.2 5804.94
0 0 0 0 89.3 5804.94
0 0 0 0 89.4 5804.94
0 0 0 0 89.5 5804.94
0 0 0 0 89.6 5804.94
0 0 0 0 89.7 5804.94
0 0 0 0 89.8 5804.94
0 0 0 0 89.9 5804.94
0 0 0 0 90 5804.94
0 0 0 0 90.1 5804.94
0 0 0 0 90.2 5804.94
0 0 0 0 90.3 5804.94
0 0 0 0 90.4 5804.94
0 0 0 0 90.5 5804.94
0 0 0 0 90.6 5804.94
0 0 0 0 90.7 5804.94
0 0 0 0 90.8 5804.94
0 0 0 0 90.9 5804.94
0 0 0 0 91 5804.94
0 0 0 0 91.1 5804.94
0 0 0 0 91.2 5804.94
0 0 0 0 91.3 5804.94
0 0 0 0 91.4 5804.94
0 0 0 0 91.5 5804.94
0 0 0 0 91.6 5804.94
0 0 0 0 91.7 5804.94
0 0 0 0 91.8 5804.94
0 0 0 0 91.9 5804.94
0 0 0 2125 92 5804.94
-76.8052 2094.59 0 2096 92.1 5804.94
-80.4225 2093.46 0 2095 92.2 5804.94
-84.2768 2098.31 0 2100 92.3 5804.94
-86.9758 2075.18 0 2077 92.4 5804.94
-91.0337 2085.01 0 2087 92.5 5804.94
-94.355 2077.86 0 2080 92.6 5804.94
-97.1806 2060.71 0 2063 92.7 5804.94
-100.631 2057.54 0 2060 92.8 5804.94
-104.879 2070.35 0 2073 92.9 5804.94
-109.068 2081.14 0 2084 93 5804.94
-113.187 2089.94 0 2093 93.1 5804.94
-117.058 2093.73 0 2097 93.2 5804.94
-120.366 2087.53 0 2091 93.3 5804.94
-123.061 2071.35 0 2075 93.4 5804.94
-127.469 2084.11 0 2088 93.5 5804.94
-131.295 2086.87 0 2091 93.6 5804.94
0 0 0 2636 93.7 5804.94
0 0 0 0 93.8 5804.94
0 0 0 0 93.9 5804.94
0 0 0 0 94 5804.94
-207.915 2900.56 0 2908 94.1 5804.94
-215.32 2932.1 0 2940 94.2 5804.94
-221.487 2945.68 0 2954 94.3 5804.94
-225.17 2926.35 0 2935 94.4 5804.94
-230.67 2930.94 0 2940 94.5 5804.94
-236.587 2940.5 0 2950 94.6 5804.94
-241.227 2934.1 0 2944 94.7 5804.94
-246.348 2933.67 0 2944 94.8 5804.94
-251.553 2934.24 0 2945 94.9 5804.94
-257.022 2937.78 0 2949 95 5804.94
-261.171 2926.37 0 2938 95.1 5804.94
-266.279 2925.91 0 2938 95.2 5804.94
-272.031 2932.41 0 2945 95.3 5804.94
-276.961 2929.94 0 2943 95.4 5804.94
-281.211 2920.49 0 2934 95.5 5804.94
-286.406 2920.99 0 2935 95.6 5804.94
-292.497 2930.44 0 2945 95.7 5804.94
-296.297 2916.99 0 2932 95.8 5804.94
-302.518 2927.41 0 2943 95.9 5804.94
-308.045 2930.86 0 2947 96 5804.94
-312.841 2927.33 0 2944 96.1 5804.94
-318.382 2930.76 0 2948 96.2 5804.94
-322.399 2920.26 0 2938 96.3 5804.94
-326.604 2911.74 0 2930 96.4 5804.94
-332.025 2914.15 0 2933 96.5 5804.94
-327.916 2834.09 0 2853 96.6 5804.94
-331.462 2821.6 0 2841 96.7 5804.94
-310.574 2604.55 0 2623 96.8 5804.94
-278.838 2304.19 0 2321 96.9 5804.94
-276.522 2252.09 0 2269 97 5804.94
-282.677 2269.46 0 2287 97.1 5804.94
-291.4 2306.67 0 2325 97.2 5804.94
-288.818 2254.58 0 2273 97.3 5804.94
-294.684 2268.94 0 2288 97.4 5804.94
-299.949 2278.34 0 2298 97.5 5804.94
-304.454 2281.78 0 2302 97.6 5804.94
-306.962 2270.34 0 2291 97.7 5804.94
-309.024 2255.93 0 2277 97.8 5804.94
-312.824 2254.4 0 2276 97.9 5804.94
-321.351 2286.53 0 2309 98 5804.94
-319.846 2247.35 0 2270 98.1 5804.94
-322.056 2234.91 0 2258 98.2 5804.94
-330.287 2264.04 0 2288 98.3 5804.94
-333.069 2255.54 0 2280 98.4 5804.94
-337.449 2257.92 0 2283 98.5 5804.94
-345.128 2282.05 0 2308 98.6 5804.94
-347.749 2272.55 0 2299 98.7 5804.94
-356.304 2301.58 0 2329 98.8 5804.94
-359.702 2297.01 0 2325 98.9 5804.94
-361.52 2282.55 0 2311 99 5804.94
-369.932 2309.56 0 2339 99.1 5804.94
-376.36 2323.72 0 2354 99.2 5804.94
-384.456 2347.73 0 2379 99.3 5804.94
-380.06 2295.75 0 2327 99.4 5804.94
-394.134 2355.25 0 2388 99.5 5804.94
-390.906 2311.17 0 2344 99.6 5804.94
-396.119 2317.39 0 2351 99.7 5804.94
-401.694 2325.56 0 2360 99.8 5804.94
-407.128 2332.74 0 2368 99.9 5804.94
-407.379 2310.36 0 2346 100 5804.94
-415.268 2331.3 0 2368 100.1 5804.94
-425.889 2366.99 0 2405 100.2 5804.94
-422.51 2324.92 0 2363 100.3 5804.94
0 0 0 0 100.4 5804.94
0 0 0 0 100.5 5804.94
0 0 0 2901 100.6 5804.94
-541.59 2866.28 0 2917 100.7 5804.94
-548.653 2876.14 0 2928 100.8 5804.94
-551.591 2864.37 0 2917 100.9 5804.94
-553.728 2848.68 0 2902 101 5804.94
-557.159 2839.86 0 2894 101.1 5804.94
-561.532 2835.94 0 2891 101.2 5804.94
-565.109 2828.09 0 2884 101.3 5804.94
-570.241 2828.08 0 2885 101.4 5804.94
-576.771 2834.92 0 2893 101.5 5804.94
-577.898 2815.3 0 2874 101.6 5804.94
-582.608 2813.31 0 2873 101.7 5804.94
-586.904 2809.35 0 2870 101.8 5804.94
-589.95 2799.51 0 2861 101.9 5804.94
-592.34 2786.74 0 2849 102 5804.94
-596.155 2780.82 0 2844 102.1 5804.94
-607.559 2810.07 0 2875 102.2 5804.94
-602.663 2764.06 0 2829 102.3 5804.94
-603.621 2745.43 0 2811 102.4 5804.94
-611.875 2759.99 0 2827 102.5 5804.94
-615.6 2754.04 0 2822 102.6 5804.94
-621.285 2756.86 0 2826 102.7 5804.94
-628.976 2768.45 0 2839 102.8 5804.94
-629.789 2749.8 0 2821 102.9 5804.94
-633.012 2741.88 0 2814 103 5804.94
-638.023 2741.74 0 2815 103.1 5804.94
-641.438 2734.78 0 2809 103.2 5804.94
-643.449 2721.98 0 2797 103.3 5804.94
-645.65 2710.15 0 2786 103.4 5804.94
-652.013 2715.83 0 2793 103.5 5804.94
-657.222 2716.63 0 2795 103.6 5804.94
-660.778 2710.62 0 2790 103.7 5804.94
-659.784 2686.16 0 2766 103.8 5804.94
-664.231 2684.03 0 2765 103.9 5804.94
-666.011 2671.22 0 2753 104 5804.94
-670.916 2671.03 0 2754 104.1 5804.94
-676.312 2672.76 0 2757 104.2 5804.94
-681.47 2673.51 0 2759 104.3 5804.94
-683.649 2662.64 0 2749 104.4 5804.94
-687.293 2657.57 0 2745 104.5 5804.94
-687.393 2638.94 0 2727 104.6 5804.94
-692.505 2639.67 0 2729 104.7 5804.94
-699.155 2646.2 0 2737 104.8 5804.94
-698.887 2626.61 0 2718 104.9 5804.94
-707.094 2638.91 0 2732 105 5804.94
-703.102 2605.81 0 2699 105.1 5804.94
-710.271 2614.23 0 2709 105.2 5804.94
-714.568 2612.02 0 2708 105.3 5804.94
-718.329 2607.88 0 2705 105.4 5804.94
-722.345 2604.69 0 2703 105.5 5804.94
-725.277 2597.65 0 2697 105.6 5804.94
-732.786 2606.97 0 2708 105.7 5804.94
-729.167 2576.82 0 2678 105.8 5804.94
-735.854 2583.24 0 2686 105.9 5804.94
-738.708 2576.18 0 2680 106 5804.94
-745.976 2584.5 0 2690 106.1 5804.94
-745.743 2566.87 0 2673 106.2 5804.94
-747.135 2555 0 2662 106.3 5804.94
-755.263 2566.16 0 2675 106.4 5804.94
-760.593 2567.72 0 2678 106.5 5804.94
-764.216 2563.51 0 2675 106.6 5804.94
-755.183 2517.16 0 2628 106.7 5804.94
0 0 0 0 106.8 5804.94
0 0 0 0 106.9 5804.94
-775.955 2538.03 0 2654 107 5804.94
-774.208 2516.6 0 2633 107.1 5804.94
-782.444 2527.67 0 2646 107.2 5804.94
-786.854 2526.3 0 2646 107.3 5804.94
-787.673 2513.47 0 2634 107.4 5804.94
-793.863 2517.81 0 2640 107.5 5804.94
-791.604 2495.45 0 2618 107.6 5804.94
-794.742 2490.26 0 2614 107.7 5804.94
-798.17 2486.01 0 2611 107.8 5804.94
-806.811 2497.94 0 2625 107.9 5804.94
-803.753 2473.7 0 2601 108 5804.94
-807.448 2470.39 0 2599 108.1 5804.94
-813.008 2472.78 0 2603 108.2 5804.94
-815.752 2466.61 0 2598 108.3 5804.94
-818.794 2461.38 0 2594 108.4 5804.94
-819.281 2448.57 0 2582 108.5 5804.94
-820.682 2438.61 0 2573 108.6 5804.94
-830.067 2452.33 0 2589 108.7 5804.94
-826.934 2429.1 0 2566 108.8 5804.94
-832.144 2430.49 0 2569 108.9 5804.94
-833.455 2420.53 0 2560 109 5804.94
-841.604 2430.41 0 2572 109.1 5804.94
-838.281 2407.22 0 2549 109.2 5804.94
-838.846 2395.37 0 2538 109.3 5804.94
-847.675 2407.1 0 2552 109.4 5804.94
-850.54 2401.85 0 2548 109.5 5804.94
-855.737 2403.19 0 2551 109.6 5804.94
-859.593 2400.75 0 2550 109.7 5804.94
-867.169 2408.65 0 2560 109.8 5804.94
-858.097 2370.47 0 2521 109.9 5804.94
-863.259 2371.78 0 2524 110 5804.94
-869.115 2374.97 0 2529 110.1 5804.94
-872.569 2371.57 0 2527 110.2 5804.94
-876.359 2369.11 0 2526 110.3 5804.94
-880.842 2368.51 0 2527 110.4 5804.94
-881.822 2358.54 0 2518 110.5 5804.94
-888.048 2362.61 0 2524 110.6 5804.94
-887.929 2349.84 0 2512 110.7 5804.94
-893.094 2351.09 0 2515 110.8 5804.94
-891.132 2333.64 0 2498 110.9 5804.94
-899.145 2342.35 0 2509 111 5804.94
-897.472 2325.85 0 2493 111.1 5804.94
-901.168 2323.35 0 2492 111.2 5804.94
-905.585 2322.71 0 2493 111.3 5804.94
-914.016 2332.29 0 2505 111.4 5804.94
-912.222 2315.81 0 2489 111.5 5804.94
-912.949 2305.85 0 2480 111.6 5804.94
-919.93 2311.68 0 2488 111.7 5804.94
-921.364 2303.57 0 2481 111.8 5804.94
-924.264 2299.18 0 2478 111.9 5804.94
-925.278 2290.14 0 2470 112 5804.94
-926.264 2281.11 0 2462 112.1 5804.94
-931.755 2283.2 0 2466 112.2 5804.94
-933.083 2275.09 0 2459 112.3 5804.94
-937.433 2274.38 0 2460 112.4 5804.94
-947.524 2287.53 0 2476 112.5 5804.94
-944.214 2268.33 0 2457 112.6 5804.94
-940.453 2248.23 0 2437 112.7 5804.94
-950.188 2260.41 0 2452 112.8 5804.94
-947.128 2242.17 0 2434 112.9 5804.94
-961.98 2266.28 0 2462 113 5804.94
-960.441 2251.72 0 2448 113.1 5804.94
-963.188 2247.29 0 2445 113.2 5804.94
-966.318 2243.76 0 2443 113.3 5804.94
-969.041 2239.32 0 2440 113.4 5804.94
-968.562 2227.54 0 2429 113.5 5804.94
-972.448 2225.85 0 2429 113.6 5804.94
-974.321 2219.57 0 2424 113.7 5804.94
-979.404 2220.61 0 2427 113.8 5804.94
-979.632 2210.67 0 2418 113.9 5804.94
-981.049 2203.47 0 2412 114 5804.94
-989.385 2211.8 0 2423 114.1 5804.94
-990.784 2204.59 0 2417 114.2 5804.94
-990.104 2192.84 0 2406 114.3 5804.94
-996.408 2196.57 0 2412 114.4 5804.94
-996.093 2185.73 0 2402 114.5 5804.94
-1001.57 2187.62 0 2406 114.6 5804.94
-1008.31 2192.23 0 2413 114.7 5804.94
-1004.17 2173.22 0 2394 114.8 5804.94
-1001.64 2157.86 0 2379 114.9 5804.94
-1010.06 2166.08 0 2390 115 5804.94
-1014.69 2166.12 0 2392 115.1 5804.94
-1011.65 2149.87 0 2376 115.2 5804.94
-1019.25 2156.24 0 2385 115.3 5804.94
-1026.01 2160.78 0 2392 115.4 5804.94
-1021.6 2141.83 0 2373 115.5 5804.94
-1027.93 2145.46 0 2379 115.6 5804.94
-1031.24 2142.76 0 2378 115.7 5804.94
-1034.11 2139.16 0 2376 115.8 5804.94
-1033.91 2129.25 0 2367 115.9 5804.94
-1038.94 2130.14 0 2370 116 5804.94
