X Y Z Distanz Orientierung Zeitstempel
3527.03 167.379 0 3531 2.717 0
3536.73 168.724 0 3540.75 2.7313 0
3543.43 169.93 0 3547.5 2.7456 0
3535.77 170.448 0 3539.88 2.7599 0
3535.48 171.318 0 3539.63 2.7742 0
3537.06 172.279 0 3541.25 2.7885 0
3539.14 173.266 0 3543.38 2.8028 0
3534.47 173.922 0 3538.75 2.8171 0
3534.06 174.786 0 3538.38 2.8314 0
3538.13 175.872 0 3542.5 2.8457 0
3541.58 176.93 0 3546 2.86 0
3542.54 177.864 0 3547 2.8743 0
3535.75 178.408 0 3540.25 2.8886 0
3541.08 179.563 0 3545.63 2.9029 0
3541.16 180.453 0 3545.75 2.9172 0
3543.98 181.484 0 3548.63 2.9315 0
3533.7 181.842 0 3538.38 2.9458 0
3540.64 183.085 0 3545.38 2.9601 0
3540.85 183.982 0 3545.63 2.9744 0
3546.05 185.139 0 3550.88 2.9887 0
3540.63 185.743 0 3545.5 3.003 0
3538.96 186.541 0 3543.88 3.0173 0
3536.67 187.305 0 3541.63 3.0316 0
3533.75 188.035 0 3538.75 3.0459 0
3535.58 189.017 0 3540.63 3.0602 0
3539.9 190.134 0 3545 3.0745 0
3529.86 190.479 0 3535 3.0888 0
3540.05 191.914 0 3545.25 3.1031 0
3532.76 192.404 0 3538 3.1174 0
3537.96 193.572 0 3543.25 3.1317 0
3539.66 194.551 0 3545 3.146 0
3542.85 195.614 0 3548.25 3.1603 0
3546.55 196.706 0 3552 3.1746 0
3545 197.507 0 3550.5 3.1889 0
3538.46 198.029 0 3544 3.2032 0
3538.16 198.898 0 3543.75 3.2175 0
3537.86 199.767 0 3543.5 3.2318 0
3539.81 200.763 0 3545.5 3.2461 0
3535.27 201.391 0 3541 3.2604 0
3541.46 202.63 0 3547.25 3.2747 0
3538.66 203.356 0 3544.5 3.289 0
3540.73 204.362 0 3546.63 3.3033 0
3532.44 204.768 0 3538.38 3.3176 0
3540.26 206.108 0 3546.25 3.3319 0
3541.33 207.057 0 3547.38 3.3462 0
3541.15 207.933 0 3547.25 3.3605 0
3534.36 208.42 0 3540.5 3.3748 0
3537.05 209.464 0 3543.25 3.3891 0
3540.49 210.555 0 3546.75 3.4034 0
3532.71 210.977 0 3539 3.4177 0
3537.52 212.15 0 3543.88 3.432 0
3545.08 213.491 0 3551.5 3.4463 0
3540.28 214.089 0 3546.75 3.4606 0
3542.23 215.094 0 3548.75 3.4749 0
3537.68 215.704 0 3544.25 3.4892 0
3537 216.549 0 3543.63 3.5035 0
3539.94 217.616 0 3546.63 3.5178 0
3534.9 218.191 0 3541.63 3.5321 0
3537.46 219.236 0 3544.25 3.5464 0
3535.54 220.003 0 3542.38 3.5607 0
3532.24 220.682 0 3539.13 3.575 0
3540.67 222.096 0 3547.63 3.5893 0
3539.11 222.885 0 3546.13 3.6036 0
3542.43 223.982 0 3549.5 3.6179 0
3546.61 225.135 0 3553.75 3.6322 0
3539.32 225.559 0 3546.5 3.6465 0
3542.01 226.618 0 3549.25 3.6608 0
3534.22 227.005 0 3541.5 3.6751 0
3536.16 228.016 0 3543.5 3.6894 0
3536.35 228.915 0 3543.75 3.7037 0
3534.3 229.668 0 3541.75 3.718 0
3535.74 230.647 0 3543.25 3.7323 0
3537.67 231.661 0 3545.25 3.7466 0
3536.74 232.486 0 3544.38 3.7609 0
3539.8 233.575 0 3547.5 3.7752 0
3530.14 233.822 0 3537.88 3.7895 0
3539.81 235.35 0 3547.63 3.8038 0
3537.63 236.092 0 3545.5 3.8181 0
3536.95 236.933 0 3544.88 3.8324 0
3537.89 237.883 0 3545.88 3.8467 0
3535.71 238.623 0 3543.75 3.861 0
3537.14 239.606 0 3545.25 3.8753 0
3540.2 240.701 0 3548.38 3.8896 0
3541.89 241.704 0 3550.13 3.9039 0
3535.34 242.144 0 3543.63 3.9182 0
3539.15 243.292 0 3547.5 3.9325 0
3532.6 243.728 0 3541 3.9468 0
3541.15 245.205 0 3549.63 3.9611 0
3541.21 246.098 0 3549.75 3.9754 0
3539.78 246.886 0 3548.38 3.9897 0
3536.85 247.568 0 3545.5 4.004 0
3538.9 248.6 0 3547.63 4.0183 0
3544.58 249.888 0 3553.38 4.0326 0
3531.92 249.881 0 3540.75 4.0469 0
3547.32 251.861 0 3556.25 4.0612 0
3538.4 252.115 0 3547.38 4.0755 0
3547.19 253.631 0 3556.25 4.0898 0
3535.78 253.703 0 3544.88 4.1041 0
3533.98 254.459 0 3543.13 4.1184 0
3529.17 254.999 0 3538.38 4.1327 0
3534.1 256.241 0 3543.38 4.147 0
3534.28 257.142 0 3543.63 4.1613 0
3537.34 258.251 0 3546.75 4.1756 0
3540.39 259.362 0 3549.88 4.1899 0
3537.08 260.008 0 3546.63 4.2042 0
3544.25 261.424 0 3553.88 4.2185 0
3535.7 261.681 0 3545.38 4.2328 0
3534.52 262.48 0 3544.25 4.2471 0
3543.93 264.068 0 3553.75 4.2614 0
3533.39 264.17 0 3543.25 4.2757 0
3535.94 265.248 0 3545.88 4.29 0
3538.12 266.299 0 3548.13 4.3043 0
3545.03 267.71 0 3555.13 4.3186 0
3542.6 268.415 0 3552.75 4.3329 0
3531.19 268.437 0 3541.38 4.3472 0
3539.72 269.974 0 3550 4.3615 0
3528.43 269.999 0 3538.75 4.3758 0
3539.71 271.751 0 3550.13 4.3901 0
3538.39 272.538 0 3548.88 4.4044 0
3538.2 273.411 0 3548.75 4.4187 0
3538.88 274.352 0 3549.5 4.433 0
3535.45 274.974 0 3546.13 4.4473 0
3539.74 276.197 0 3550.5 4.4616 0
3538.67 277.002 0 3549.5 4.4759 0
3541.97 278.15 0 3552.88 4.4902 0
3541.65 279.014 0 3552.63 4.5045 0
3539.59 279.74 0 3550.63 4.5188 0
3534.41 280.219 0 3545.5 4.5331 0
3541.32 281.656 0 3552.5 4.5474 0
3538.51 282.321 0 3549.75 4.5617 0
3539.68 283.304 0 3551 4.576 0
3537.37 284.007 0 3548.75 4.5903 0
3533.43 284.579 0 3544.88 4.6046 0
3541.21 286.095 0 3552.75 4.6189 0
3534.66 286.454 0 3546.25 4.6332 0
3539.32 287.721 0 3551 4.6475 0
3533.52 288.137 0 3545.25 4.6618 0
3550.02 290.374 0 3561.88 4.6761 0
3541.72 290.585 0 3553.63 4.6904 0
3536.92 291.08 0 3548.88 4.7047 0
3534.85 291.798 0 3546.88 4.719 0
3534.65 292.67 0 3546.75 4.7333 0
3535.2 293.604 0 3547.38 4.7476 0
3544.72 295.285 0 3557 4.7619 0
3542.41 295.982 0 3554.75 4.7762 0
3533.74 296.146 0 3546.13 4.7905 0
3538.52 297.436 0 3551 4.8048 0
3538.2 298.299 0 3550.75 4.8191 0
3539.49 299.298 0 3552.13 4.8334 0
3538.92 300.139 0 3551.63 4.8477 0
3539.84 301.107 0 3552.63 4.862 0
3539.02 301.926 0 3551.88 4.8763 0
3541.43 303.023 0 3554.38 4.8906 0
3537.25 303.554 0 3550.25 4.9049 0
3538.29 304.533 0 3551.38 4.9192 0
3533.36 304.997 0 3546.5 4.9335 0
3532.41 305.803 0 3545.63 4.9478 0
3533.71 306.804 0 3547 4.9621 0
3537.61 308.033 0 3551 4.9764 0
3537.29 308.894 0 3550.75 4.9907 0
3536.46 309.712 0 3550 5.005 0
3540.74 310.977 0 3554.38 5.0193 0
3540.29 311.828 0 3554 5.0336 0
3531.87 311.974 0 3545.63 5.0479 0
3537.9 313.396 0 3551.75 5.0622 0
3537.07 314.213 0 3551 5.0765 0
3527.9 314.286 0 3541.88 5.0908 0
3535.05 315.812 0 3549.13 5.1051 0
3538.58 317.017 0 3552.75 5.1194 0
3534.39 317.531 0 3548.63 5.1337 0
3534.06 318.391 0 3548.38 5.148 0
3535.6 319.419 0 3550 5.1623 0
3531.79 319.963 0 3546.25 5.1766 0
3538.93 321.501 0 3553.5 5.1909 0
3542.46 322.713 0 3557.13 5.2052 0
3529.68 322.437 0 3544.38 5.2195 0
3536.69 323.968 0 3551.5 5.2338 0
3543.33 325.468 0 3558.25 5.2481 0
3536.78 325.756 0 3551.75 5.2624 0
3539.69 326.915 0 3554.75 5.2767 0
3535.5 327.418 0 3550.63 5.291 0
3538.9 328.624 0 3554.13 5.3053 0
3544.29 330.017 0 3559.63 5.3196 0
3543.46 330.832 0 3558.88 5.3339 0
3548.24 332.171 0 3563.75 5.3482 0
3537.33 332.04 0 3552.88 5.3625 0
3540.98 333.274 0 3556.63 5.3768 0
3535.17 333.618 0 3550.88 5.3911 0
3543.42 335.289 0 3559.25 5.4054 0
3539.85 335.843 0 3555.75 5.4197 0
3536.41 336.407 0 3552.38 5.434 0
3546.53 338.262 0 3562.63 5.4483 0
3546.69 339.171 0 3562.88 5.4626 0
3534.42 338.887 0 3550.63 5.4769 0
3539.68 340.284 0 3556 5.4912 0
3540.96 341.299 0 3557.38 5.5055 0
3548.22 342.892 0 3564.75 5.5198 0
3539.18 342.91 0 3555.75 5.5341 0
3535.23 343.419 0 3551.88 5.5484 0
3533.28 344.119 0 3550 5.5627 0
3542.78 345.936 0 3559.63 5.577 0
3535.97 346.163 0 3552.88 5.5913 0
3540.61 347.509 0 3557.63 5.6056 0
3539.41 348.283 0 3556.5 5.6199 0
3549.02 350.123 0 3566.25 5.6342 0
3536 349.73 0 3553.25 5.6485 0
3547.85 351.796 0 3565.25 5.6628 0
3537.81 351.693 0 3555.25 5.6771 0
3533.99 352.204 0 3551.5 5.6914 0
3536.52 353.347 0 3554.13 5.7057 0
3537.92 354.379 0 3555.63 5.72 0
3535.47 355.024 0 3553.25 5.7343 0
3542.84 356.658 0 3560.75 5.7486 0
3532.06 356.463 0 3550 5.7629 0
3539.18 358.074 0 3557.25 5.7772 0
3537.6 358.806 0 3555.75 5.7915 0
3540.37 359.98 0 3558.63 5.8058 0
3537.92 360.623 0 3556.25 5.8201 0
3536.96 361.417 0 3555.38 5.8344 0
3536.49 362.261 0 3555 5.8487 0
3543.37 363.859 0 3562 5.863 0
3534.95 363.886 0 3553.63 5.8773 0
3536.35 364.922 0 3555.13 5.8916 0
3536.63 365.843 0 3555.5 5.9059 0
3539.52 367.035 0 3558.5 5.9202 0
3528.74 366.807 0 3547.75 5.9345 0
3538.22 368.685 0 3557.38 5.9488 0
3540.12 369.776 0 3559.38 5.9631 0
3543.63 371.037 0 3563 5.9774 0
3537.94 371.334 0 3557.38 5.9917 0
3538.59 372.296 0 3558.13 6.006 0
3534.9 372.799 0 3554.5 6.0203 0
3544 374.654 0 3563.75 6.0346 0
3534.34 374.524 0 3554.13 6.0489 0
3537.23 375.723 0 3557.13 6.0632 0
3546.83 377.638 0 3566.88 6.0775 0
3543.87 378.218 0 3564 6.0918 0
3543.53 379.076 0 3563.75 6.1061 0
3544.18 380.04 0 3564.5 6.1204 0
3537.75 380.243 0 3558.13 6.1347 0
3540.64 381.448 0 3561.13 6.149 0
3540.67 382.345 0 3561.25 6.1633 0
3539.2 383.081 0 3559.88 6.1776 0
3541.72 384.247 0 3562.5 6.1919 0
3540.88 385.05 0 3561.75 6.2062 0
3540.03 385.852 0 3561 6.2205 0
3533.23 386.003 0 3554.25 6.2348 0
3541.7 387.823 0 3562.88 6.2491 0
3533.16 387.78 0 3554.38 6.2634 0
3537.91 389.195 0 3559.25 6.2777 0
3539.05 390.215 0 3560.5 6.292 0
3533.74 390.521 0 3555.25 6.3063 0
3535.38 391.596 0 3557 6.3206 0
3541.12 393.127 0 3562.88 6.3349 0
3537.29 393.596 0 3559.13 6.3492 0
3542.54 395.074 0 3564.5 6.3635 0
3538.96 395.57 0 3561 6.3778 0
3539.23 396.495 0 3561.38 6.3921 0
3544.48 397.978 0 3566.75 6.4064 0
3541.02 398.485 0 3563.38 6.4207 0
3538.32 399.075 0 3560.75 6.435 0
3540.82 400.252 0 3563.38 6.4493 0
3541.22 401.192 0 3563.88 6.4636 0
3532.18 401.061 0 3554.88 6.4779 0
3544.5 403.356 0 3567.38 6.4922 0
3537.32 403.433 0 3560.25 6.5065 0
3538.83 404.5 0 3561.88 6.5208 0
3543.45 405.924 0 3566.63 6.5351 0
3539.62 406.381 0 3562.88 6.5494 0
3543.74 407.75 0 3567.13 6.5637 0
3540.66 408.291 0 3564.13 6.578 0
3546.4 409.849 0 3570 6.5923 0
3536.61 409.612 0 3560.25 6.6066 0
3548.18 411.85 0 3572 6.6209 0
3539.88 411.782 0 3563.75 6.6352 0
3538.41 412.506 0 3562.38 6.6495 0
3542.03 413.825 0 3566.13 6.6638 0
3543.79 414.927 0 3568 6.6781 0
3541.45 415.549 0 3565.75 6.6924 0
3542.47 416.564 0 3566.88 6.7067 0
3546.58 417.946 0 3571.13 6.721 0
3543.13 418.435 0 3567.75 6.7353 0
3537.31 418.644 0 3562 6.7496 0
