MittelwertX=1.537438MittelwertY=0 MittelwertZ=33.876094

X Y Z
0.862914 0 33.2849 
0.311487 0 38.172 
0.583481 0 36.7409 
5.07331 0 35.6968 
0.914401 0 27.0148 
0.144177 0 30.6454 
1.58491 0 33.7376 
1.01093 0 30.1307 
0.547573 0 32.4967 
1.3632 0 34.977 
0.178456 0 33.3912 
1.48571 0 36.2602 
2.77938 0 36.16 
1.24646 0 36.7587 
5.53495 0 37.011 
1.19017 0 41.9782 
1.28065 0 37.5457 
1.27137 0 36.1424 
4.76697 0 33.2849 
0.690529 0 38.172 
0.242649 0 36.7409 
2.84323 0 35.6968 
1.21412 0 27.0148 
0.716586 0 30.6454 
5.07774 0 33.7376 
0.862914 0 30.1307 
0.311487 0 32.4967 
0.583481 0 34.977 
5.07331 0 33.3912 
0.914401 0 36.2602 
0.144177 0 36.16 
1.58491 0 36.7587 
1.01093 0 37.011 
0.547573 0 41.9782 
1.3632 0 37.5457 
0.178456 0 36.1424 
1.48571 0 33.2849 
2.77938 0 38.172 
1.24646 0 36.7409 
5.53495 0 35.6968 
1.19017 0 37.6187 
1.28065 0 27.0148 
0.712245 0 30.6454 
1.68634 0 33.7376 
0.941419 0 30.1307 
1.27137 0 32.4967 
4.76697 0 34.977 
0.690529 0 33.3912 
0.242649 0 36.2602 
2.84323 0 36.16 
1.21412 0 36.7587 
0.716586 0 37.011 
5.07774 0 41.9782 
0.862914 0 37.5457 
0.311487 0 36.1424 
0.583481 0 33.2849 
5.07331 0 38.172 
0.914401 0 36.7409 
0.144177 0 35.6968 
1.58491 0 37.6187 
1.01093 0 38.4404 
0.547573 0 27.0148 
1.3632 0 30.6454 
0.178456 0 33.7376 
1.48571 0 30.1307 
2.77938 0 32.4967 
1.24646 0 34.977 
5.53495 0 33.3912 
1.19017 0 36.2602 
1.28065 0 36.16 
0.712245 0 36.7587 
1.68634 0 37.011 
0.941419 0 41.9782 
1.41384 0 37.5457 
1.27137 0 36.1424 
4.76697 0 33.2849 
0.690529 0 38.172 
0.242649 0 36.7409 
2.84323 0 35.6968 
1.21412 0 37.6187 
0.716586 0 38.4404 
5.07774 0 37.9917 
