X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;
862,74;-371,94;0;80;114;137;0,97004;;;;
870,406;-375,63;0;80;114;137;0,97004;;;;
861,085;-371,99;0;80;114;137;0,97004;;;;
858,652;-371,319;0;80;114;137;0,97004;;;;
846,583;-366,475;0;80;114;137;0,97004;;;;
849,198;-367,984;0;80;114;137;0,97004;;;;
851,354;-369,296;0;80;114;137;0,97004;;;;
848,465;-368,419;0;80;114;137;0,97004;;;;
863,001;-375,114;0;80;114;137;0,97004;;;;
845,438;-367,856;0;80;114;137;0,97004;;;;
843,926;-367,573;0;80;114;137;0,97004;;;;
869,455;-379,079;0;80;114;137;0,97004;;;;
853,732;-372,603;0;80;114;137;0,97004;;;;
847,179;-370,12;0;80;114;137;0,97004;;;;
847,957;-370,837;0;80;114;137;0,97004;;;;
855,605;-374,562;0;80;114;137;0,97004;;;;
862,334;-377,892;0;80;114;137;0,97004;;;;
860,361;-377,411;0;80;114;137;0,97004;;;;
847,859;-372,304;0;80;114;137;0,97004;;;;
853,213;-375,035;0;80;114;137;0,97004;;;;
843,004;-370,924;0;80;114;137;0,97004;;;;
846,069;-372,649;0;80;114;137;0,97004;;;;
852,335;-375,789;0;80;114;137;0,97004;;;;
850,822;-375,502;0;80;114;137;0,97004;;;;
840,163;-371,173;0;80;114;137;0,97004;;;;
865,174;-382,609;0;80;114;137;0,97004;;;;
864,574;-382,729;0;80;114;137;0,97004;;;;
863,06;-382,445;0;80;114;137;0,97004;;;;
842,349;-373,644;0;80;114;137;0,97004;;;;
856,376;-380,249;0;80;114;137;0,97004;;;;
848,467;-377,116;0;80;114;137;0,97004;;;;
859,29;-382,311;0;80;114;137;0,97004;;;;
852,296;-379,58;0;80;114;137;0,97004;;;;
853,524;-380,51;0;80;114;137;0,97004;;;;
849,729;-379,198;0;80;114;137;0,97004;;;;
859,631;-384,002;0;80;114;137;0,97004;;;;
856,748;-383,099;0;80;114;137;0,97004;;;;
853,867;-382,193;0;80;114;137;0,97004;;;;
867,413;-388,645;0;80;114;137;0,97004;;;;
852,669;-382,421;0;80;114;137;0,97004;;;;
857,087;-384,788;0;80;114;137;0,97004;;;;
852,383;-383,058;0;80;114;137;0,97004;;;;
859,08;-386,453;0;80;114;137;0,97004;;;;
844,802;-380,41;0;80;114;137;0,97004;;;;
846,483;-381,547;0;80;114;137;0,97004;;;;
857,279;-386,799;0;80;114;137;0,97004;;;;
854,4;-385,884;0;80;114;137;0,97004;;;;
842,866;-381,054;0;80;114;137;0,97004;;;;
860,945;-389,614;0;80;114;137;0,97004;;;;
