X Y Zeitstempel
269.689 1006.49 14839
269.218 1011.8 14839
265.919 1006.46 14839
264.416 1007.89 14839
274.756 1054.8 14839
271.662 1050.44 14839
270.077 1051.88 14839
265.771 1042.66 14839
268.121 1059.6 14839
263.591 1049.4 14839
259.098 1039.19 14839
252.48 1020.22 14839
245.928 1001.24 14839
260.996 1070.65 14839
262.419 1084.71 14839
253.055 1054.05 14839
239.396 1004.88 14839
244.083 1032.54 14839
236.571 1008.63 14839
237.984 1022.67 14839
239.798 1038.68 14839
238.431 1041.04 14839
229.303 1009.28 14839
234.136 1038.94 14839
232.759 1041.3 14839
227.262 1025.11 14839
227.834 1036.25 14839
227.516 1043.48 14839
232.669 1076.13 14839
226.598 1056.98 14839
222.466 1046.62 14839
220.02 1044.07 14839
223.31 1068.92 14839
217.996 1052.66 14839
214.148 1043.25 14839
214.121 1052.44 14839
215.446 1068.5 14839
213.973 1070.83 14839
213.269 1077.09 14839
211.774 1079.42 14839
210.081 1080.77 14839
206.87 1074.26 14839
201.435 1055.96 14839
202.005 1069.08 14839
200.875 1073.37 14839
200.095 1079.61 14839
195.683 1066.19 14839
196.682 1082.27 14839
197.272 1096.39 14839
210.089 1179.43 14839
410.678 2329.07 14839
426.04 2441.1 14839
418.375 2422.13 14839
416.506 2436.66 14839
412.753 2440.34 14839
408.823 2443.03 14839
403.578 2437.82 14839
400.777 2447.4 14839
394.907 2438.23 14839
389.227 2430.03 14839
386.706 2441.57 14839
382.444 2442.24 14839
377.416 2437.96 14839
373.463 2440.59 14839
368.904 2439.26 14839
364.202 2436.94 14839
359.364 2433.61 14839
356.415 2443.14 14839
351.295 2437.82 14839
346.194 2432.49 14839
341.113 2427.15 14839
335.914 2420.81 14839
332.367 2426.34 14839
303.211 2242.59 14839
257.503 1929.9 14839
254.004 1929.35 14839
250.894 1931.78 14839
242.439 1892.53 14839
236.002 1868.15 14839
231.629 1859.63 14839
229.236 1866.98 14839
227.659 1881.28 14839
224.376 1881.67 14839
221.674 1887.02 14839
218.151 1885.42 14839
215.652 1892.75 14839
210.565 1877.23 14839
204.764 1854.73 14839
205.091 1887.89 14839
197.864 1851.46 14839
198.5 1888.6 14839
192.839 1866.06 14839
190.895 1879.33 14839
184.834 1851.8 14839
183.066 1867.05 14839
179.423 1863.38 14839
176.547 1867.67 14839
174.026 1875.95 14839
173.289 1904.13 14839
167.921 1881.52 14839
164.55 1880.82 14839
161.353 1882.1 14839
159.072 1894.33 14839
156.093 1898.59 14839
154.383 1918.8 14839
151.034 1919.07 14839
147.607 1918.33 14839
143.359 1906.62 14839
142.155 1935.79 14839
138.276 1929.05 14839
133.723 1912.33 14839
131.065 1922.54 14839
127.71 1922.76 14839
124.483 1924.98 14839
119.93 1906.23 14839
118.678 1940.37 14839
114.699 1930.6 14839
112.192 1945.77 14839
108.852 1946.96 14839
105.562 1949.14 14839
110.115 2101.12 14839
0 0 14839
117.337 2399.13 14839
109.051 2312.43 14839
94.2189 2074.86 14839
105.297 2411.7 14839
100.585 2399.89 14839
96.3163 2398.07 14839
92.553 2409.22 14839
88.0548 2401.39 14839
83.4796 2390.54 14839
79.6719 2401.68 14839
75.1345 2390.82 14839
71.3176 2402.94 14839
67.0957 2402.06 14839
62.6938 2394.18 14839
58.515 2394.29 14839
54.3588 2395.38 14839
50.2199 2397.47 14839
45.9011 2390.56 14839
41.9381 2402.63 14839
37.619 2394.7 14839
33.2579 2381.77 14839
29.1864 2388.82 14839
25.1008 2396.87 14839
20.9175 2396.91 14839
16.6642 2386.94 14839
12.5087 2388.97 14839
8.36009 2394.99 14839
4.16259 2385 14839
-2.18098e-05 2396 14839
-4.14867 2377 14839
-8.32173 2383.99 14839
