X Y Z RGB-R RGB-G RGB-B
853.213 -375.035 0 80 114 137
843.004 -370.924 0 80 114 137
846.069 -372.649 0 80 114 137
852.335 -375.789 0 80 114 137
850.822 -375.502 0 80 114 137
840.163 -371.173 0 80 114 137
865.174 -382.609 0 80 114 137
864.574 -382.729 0 80 114 137
863.06 -382.445 0 80 114 137
842.349 -373.644 0 80 114 137
856.376 -380.249 0 80 114 137
848.467 -377.116 0 80 114 137
859.29 -382.311 0 80 114 137
852.296 -379.58 0 80 114 137
853.524 -380.51 0 80 114 137
849.729 -379.198 0 80 114 137
859.631 -384.002 0 80 114 137
856.748 -383.099 0 80 114 137
853.867 -382.193 0 80 114 137
867.413 -388.645 0 80 114 137
852.669 -382.421 0 80 114 137
857.087 -384.788 0 80 114 137
852.383 -383.058 0 80 114 137
859.08 -386.453 0 80 114 137
844.802 -380.41 0 80 114 137
846.483 -381.547 0 80 114 137
857.279 -386.799 0 80 114 137
854.4 -385.884 0 80 114 137
842.866 -381.054 0 80 114 137
860.945 -389.614 0 80 114 137
848.957 -384.572 0 80 114 137
849.724 -385.302 0 80 114 137
854.589 -387.892 0 80 114 137
861.272 -391.314 0 80 114 137
835.183 -379.837 0 80 114 137
848.238 -386.157 0 80 114 137
855.373 -389.791 0 80 114 137
852.498 -388.865 0 80 114 137
855.082 -390.43 0 80 114 137
860.848 -393.451 0 80 114 137
856.154 -391.692 0 80 114 137
862.372 -394.927 0 80 114 137
849.952 -389.623 0 80 114 137
852.533 -391.192 0 80 114 137
853.75 -392.136 0 80 114 137
857.238 -394.126 0 80 114 137
848.461 -390.474 0 80 114 137
849.677 -391.419 0 80 114 137
859.066 -396.133 0 80 114 137
853.47 -393.939 0 80 114 137
843.791 -389.854 0 80 114 137
851.361 -393.737 0 80 114 137
861.65 -398.886 0 80 114 137
854.242 -395.845 0 80 114 137
847.29 -393.008 0 80 114 137
851.678 -395.43 0 80 114 137
846.996 -393.641 0 80 114 137
858.183 -399.229 0 80 114 137
848.515 -395.118 0 80 114 137
853.806 -397.969 0 80 114 137
859.548 -401.036 0 80 114 137
851.696 -397.761 0 80 114 137
852.453 -398.502 0 80 114 137
855.022 -400.092 0 80 114 137
850.797 -398.503 0 80 114 137
866.946 -406.461 0 80 114 137
854.573 -401.05 0 80 114 137
858.949 -403.495 0 80 114 137
849.748 -399.561 0 80 114 137
864.528 -406.905 0 80 114 137
839.499 -395.507 0 80 114 137
853.37 -402.432 0 80 114 137
856.837 -404.458 0 80 114 137
851.261 -402.215 0 80 114 137
855.179 -404.457 0 80 114 137
849.605 -402.209 0 80 114 137
857.587 -406.38 0 80 114 137
861.05 -408.415 0 80 114 137
860.897 -408.736 0 80 114 137
853.97 -405.838 0 80 114 137
848.852 -403.795 0 80 114 137
847.347 -403.467 0 80 114 137
855.772 -407.871 0 80 114 137
857.425 -409.051 0 80 114 137
862.686 -411.957 0 80 114 137
852.157 -407.32 0 80 114 137
849.749 -406.559 0 80 114 137
847.793 -406.013 0 80 114 137
864.324 -414.326 0 80 114 137
853.801 -409.674 0 80 114 137
850.042 -408.261 0 80 114 137
852.593 -409.878 0 80 114 137
845.232 -406.728 0 80 114 137
860.396 -414.421 0 80 114 137
853.034 -411.268 0 80 114 137
855.132 -412.673 0 80 114 137
859.03 -414.95 0 80 114 137
849.422 -410.7 0 80 114 137
852.419 -412.542 0 80 114 137
866.664 -419.836 0 80 114 137
861.109 -417.541 0 80 114 137
852.406 -413.715 0 80 114 137
861.696 -418.622 0 80 114 137
858.842 -417.631 0 80 114 137
844.749 -411.169 0 80 114 137
852.237 -415.207 0 80 114 137
853.879 -416.402 0 80 114 137
860.014 -419.791 0 80 114 137
851.322 -415.942 0 80 114 137
863.743 -422.411 0 80 114 137
854.154 -418.117 0 80 114 137
853.1 -417.996 0 80 114 137
845.312 -414.572 0 80 114 137
853.236 -418.853 0 80 114 137
851.285 -418.29 0 80 114 137
867.729 -426.773 0 80 114 137
862.187 -424.447 0 80 114 137
849.919 -418.802 0 80 114 137
848.417 -418.455 0 80 114 137
857.676 -423.42 0 80 114 137
855.724 -422.855 0 80 114 137
859.6 -425.169 0 80 114 137
859.889 -425.712 0 80 114 137
850.322 -421.371 0 80 114 137
850.164 -421.689 0 80 114 137
866.577 -430.233 0 80 114 137
862.834 -428.776 0 80 114 137
853.273 -424.423 0 80 114 137
852.219 -424.295 0 80 114 137
865.486 -431.304 0 80 114 137
846.533 -422.254 0 80 114 137
845.928 -422.347 0 80 114 137
855.61 -427.58 0 80 114 137
845.612 -422.978 0 80 114 137
861.102 -431.129 0 80 114 137
857.812 -429.882 0 80 114 137
867.931 -435.359 0 80 114 137
854.363 -428.953 0 80 114 137
855.989 -430.17 0 80 114 137
856.722 -430.939 0 80 114 137
857.454 -431.708 0 80 114 137
851.042 -428.878 0 80 114 137
853.114 -430.322 0 80 114 137
860.541 -434.472 0 80 114 137
861.717 -435.47 0 80 114 137
858.431 -434.212 0 80 114 137
861.392 -436.113 0 80 114 137
850.971 -431.237 0 80 114 137
853.485 -432.911 0 80 114 137
856.444 -434.815 0 80 114 137
864.305 -439.212 0 80 114 137
855.673 -435.228 0 80 114 137
857.293 -436.455 0 80 114 137
854.903 -435.64 0 80 114 137
852.067 -434.596 0 80 114 137
859.475 -438.779 0 80 114 137
853.078 -435.915 0 80 114 137
856.031 -437.827 0 80 114 137
860.318 -440.425 0 80 114 137
850.809 -435.958 0 80 114 137
862.214 -442.209 0 80 114 137
854.487 -438.649 0 80 114 137
860.994 -442.396 0 80 114 137
859.939 -442.26 0 80 114 137
854.439 -439.835 0 80 114 137
858.72 -442.444 0 80 114 137
861.221 -444.14 0 80 114 137
858.833 -443.315 0 80 114 137
871.994 -450.521 0 80 114 137
860.278 -444.875 0 80 114 137
856.116 -443.128 0 80 114 137
845.295 -437.927 0 80 114 137
864.662 -448.37 0 80 114 137
856.062 -444.317 0 80 114 137
853.234 -443.254 0 80 114 137
852.625 -443.342 0 80 114 137
857.782 -446.43 0 80 114 137
863.379 -449.753 0 80 114 137
852.571 -444.528 0 80 114 137
851.962 -444.615 0 80 114 137
857.557 -447.943 0 80 114 137
869.796 -454.749 0 80 114 137
864.31 -452.292 0 80 114 137
859.269 -450.063 0 80 114 137
873.272 -457.813 0 80 114 137
853.62 -447.917 0 80 114 137
856.551 -449.863 0 80 114 137
846.646 -445.065 0 80 114 137
856.657 -450.736 0 80 114 137
855.604 -450.59 0 80 114 137
853.666 -449.977 0 80 114 137
871.187 -459.628 0 80 114 137
852.003 -449.914 0 80 114 137
858.024 -453.503 0 80 114 137
844.596 -446.809 0 80 114 137
854.592 -452.506 0 80 114 137
859.724 -455.635 0 80 114 137
866.18 -459.47 0 80 114 137
852.759 -452.76 0 80 114 137
856.564 -455.19 0 80 114 137
848.89 -451.518 0 80 114 137
865.492 -460.764 0 80 114 137
860.025 -458.266 0 80 114 137
856.324 -456.705 0 80 114 137
864.975 -461.734 0 80 114 137
866.126 -462.763 0 80 114 137
858.017 -458.843 0 80 114 137
860.049 -460.343 0 80 114 137
860.318 -460.9 0 80 114 137
859.705 -460.985 0 80 114 137
856.889 -459.888 0 80 114 137
858.92 -461.391 0 80 114 137
862.711 -463.842 0 80 114 137
853.292 -459.189 0 80 114 137
870.728 -468.992 0 80 114 137
849.427 -457.928 0 80 114 137
853.217 -460.382 0 80 114 137
852.165 -460.226 0 80 114 137
854.632 -461.97 0 80 114 137
856.218 -463.241 0 80 114 137
844.614 -457.371 0 80 114 137
853.234 -462.451 0 80 114 137
849.106 -460.624 0 80 114 137
850.692 -461.896 0 80 114 137
846.126 -459.826 0 80 114 137
845.515 -459.903 0 80 114 137
853.248 -464.522 0 80 114 137
851.757 -464.123 0 80 114 137
843.243 -459.892 0 80 114 137
850.093 -464.04 0 80 114 137
852.114 -465.557 0 80 114 137
856.766 -468.514 0 80 114 137
842.117 -460.912 0 80 114 137
841.944 -461.226 0 80 114 137
835.634 -458.175 0 80 114 137
844.23 -463.298 0 80 114 137
845.81 -464.576 0 80 114 137
835.997 -459.593 0 80 114 137
840.566 -462.698 0 80 114 137
841.707 -463.735 0 80 114 137
831.025 -458.255 0 80 114 137
830.854 -458.565 0 80 114 137
841.187 -464.678 0 80 114 137
847.139 -468.379 0 80 114 137
832.09 -460.464 0 80 114 137
836.292 -463.198 0 80 114 137
823 -456.237 0 80 114 137
839.443 -465.763 0 80 114 137
846.7 -470.203 0 80 114 137
830.354 -461.532 0 80 114 137
840.232 -467.433 0 80 114 137
828.262 -461.179 0 80 114 137
840.319 -468.303 0 80 114 137
834.031 -465.207 0 80 114 137
819.013 -457.232 0 80 114 137
828.009 -462.66 0 80 114 137
835.254 -467.118 0 80 114 137
825.045 -461.813 0 80 114 137
821.819 -460.41 0 80 114 137
833.422 -467.32 0 80 114 137
825.399 -463.226 0 80 114 137
823.046 -462.31 0 80 114 137
813.721 -457.472 0 80 114 137
810.935 -456.305 0 80 114 137
828.191 -466.422 0 80 114 137
822.355 -463.539 0 80 114 137
826.972 -466.549 0 80 114 137
825.056 -465.875 0 80 114 137
810.082 -457.818 0 80 114 137
810.781 -458.613 0 80 114 137
826.709 -468.03 0 80 114 137
816.529 -462.67 0 80 114 137
806.787 -457.548 0 80 114 137
809.225 -459.33 0 80 114 137
815.14 -463.09 0 80 114 137
818.01 -465.125 0 80 114 137
825.223 -469.635 0 80 114 137
801.587 -456.579 0 80 114 137
804.457 -458.612 0 80 114 137
818.617 -467.09 0 80 114 137
803.246 -458.717 0 80 114 137
814.795 -465.716 0 80 114 137
801.601 -458.572 0 80 114 137
801.429 -458.872 0 80 114 137
793.016 -454.447 0 80 114 137
812.363 -465.938 0 80 114 137
806.552 -463.005 0 80 114 137
810.714 -465.797 0 80 114 137
812.708 -467.346 0 80 114 137
811.666 -467.151 0 80 114 137
810.192 -466.706 0 80 114 137
804.386 -463.762 0 80 114 137
798.15 -460.563 0 80 114 137
806.638 -465.863 0 80 114 137
796.94 -460.659 0 80 114 137
811.483 -469.47 0 80 114 137
796.596 -461.254 0 80 114 137
799.884 -463.557 0 80 114 137
806.199 -467.619 0 80 114 137
801.7 -465.41 0 80 114 137
806.282 -468.472 0 80 114 137
797.03 -463.495 0 80 114 137
792.967 -461.529 0 80 114 137
808.78 -471.137 0 80 114 137
792.19 -461.869 0 80 114 137
788.995 -460.401 0 80 114 137
806.525 -471.035 0 80 114 137
790.809 -462.252 0 80 114 137
789.342 -461.79 0 80 114 137
795.21 -465.622 0 80 114 137
801.938 -469.964 0 80 114 137
792.705 -464.951 0 80 114 137
783.476 -459.931 0 80 114 137
788.047 -463.01 0 80 114 137
784.426 -461.277 0 80 114 137
793.733 -467.149 0 80 114 137
784.943 -462.37 0 80 114 137
791.231 -466.472 0 80 114 137
790.195 -466.26 0 80 114 137
794.757 -469.352 0 80 114 137
785.112 -464.051 0 80 114 137
780.635 -461.799 0 80 114 137
793.37 -469.732 0 80 114 137
779.43 -461.872 0 80 114 137
782.697 -464.203 0 80 114 137
781.664 -463.985 0 80 114 137
786.219 -467.086 0 80 114 137
781.317 -464.569 0 80 114 137
778.566 -463.327 0 80 114 137
782.688 -466.176 0 80 114 137
793.251 -472.869 0 80 114 137
771.176 -460.1 0 80 114 137
790.751 -472.18 0 80 114 137
786.712 -470.166 0 80 114 137
780.1 -466.61 0 80 114 137
780.784 -467.415 0 80 114 137
770.315 -461.539 0 80 114 137
787.295 -472.113 0 80 114 137
783.689 -470.348 0 80 114 137
776.655 -466.521 0 80 114 137
770.482 -463.205 0 80 114 137
778.877 -468.648 0 80 114 137
770.992 -464.296 0 80 114 137
774.673 -466.907 0 80 114 137
768.933 -463.839 0 80 114 137
771.328 -465.677 0 80 114 137
775.861 -468.809 0 80 114 137
772.263 -467.029 0 80 114 137
777.222 -470.424 0 80 114 137
770.203 -466.569 0 80 114 137
773.877 -469.19 0 80 114 137
773.702 -469.479 0 80 114 137
772.672 -469.249 0 80 114 137
769.933 -467.979 0 80 114 137
765.059 -465.408 0 80 114 137
766.166 -466.474 0 80 114 137
767.273 -467.541 0 80 114 137
761.549 -464.443 0 80 114 137
768.631 -469.156 0 80 114 137
764.189 -466.836 0 80 114 137
769.56 -470.512 0 80 114 137
770.237 -471.322 0 80 114 137
767.503 -470.042 0 80 114 137
765.622 -469.284 0 80 114 137
759.906 -466.171 0 80 114 137
770.384 -472.995 0 80 114 137
765.947 -470.665 0 80 114 137
758.531 -466.498 0 80 114 137
748.138 -460.491 0 80 114 137
762.865 -469.949 0 80 114 137
763.115 -470.497 0 80 114 137
754.855 -465.793 0 80 114 137
753.83 -465.549 0 80 114 137
758.76 -468.986 0 80 114 137
748.379 -462.956 0 80 114 137
750.757 -464.815 0 80 114 137
758.659 -470.099 0 80 114 137
751.685 -466.166 0 80 114 137
738.341 -458.273 0 80 114 137
754.734 -468.838 0 80 114 137
753.709 -468.592 0 80 114 137
747.167 -464.911 0 80 114 137
747.417 -465.454 0 80 114 137
737.908 -459.915 0 80 114 137
747.069 -466.013 0 80 114 137
747.743 -466.821 0 80 114 137
747.993 -467.365 0 80 114 137
751.634 -470.031 0 80 114 137
739.167 -462.619 0 80 114 137
747.469 -468.203 0 80 114 137
731.196 -458.39 0 80 114 137
747.119 -468.761 0 80 114 137
747.791 -469.572 0 80 114 137
744.652 -467.989 0 80 114 137
742.361 -466.936 0 80 114 137
736.262 -463.484 0 80 114 137
750.473 -472.821 0 80 114 137
741.414 -467.501 0 80 114 137
741.24 -467.778 0 80 114 137
736.837 -465.385 0 80 114 137
744.694 -470.736 0 80 114 137
738.602 -467.271 0 80 114 137
739.695 -468.35 0 80 114 137
752.613 -476.923 0 80 114 137
739.767 -469.17 0 80 114 137
734.948 -466.499 0 80 114 137
750.39 -476.693 0 80 114 137
