X Y Zeitstempel
-3781.34 839.655 8162.8
-3775.81 846.342 8162.8
-3786.36 856.652 8162.8
-3784.71 864.224 8162.8
-3788.27 873 8162.8
-3793.71 882.233 8162.8
-3783.6 887.85 8162.8
-3785.83 896.353 8162.8
-3788.78 905.043 8162.8
-3787.57 912.752 8162.8
-3796.25 922.867 8162.8
-3792.46 929.969 8162.8
-3795.02 938.634 8162.8
-3793.99 946.422 8162.8
-3785.79 952.409 8162.8
-3770.43 956.554 8162.8
-3746.29 958.396 8162.8
-3722.06 959.786 8162.8
-3692.25 959.966 8162.8
-3668.2 961.536 8162.8
-3638.41 961.497 8162.8
-3619.39 964.206 8162.8
-3592.53 964.737 8162.8
-3569.42 966.176 8162.8
-3550.54 968.678 8162.8
-3520.4 968.01 8162.8
-3511.83 973.202 8162.8
-3484.78 973.201 8162.8
-3463.4 974.688 8162.8
-3445.87 977.185 8162.8
-3421.38 977.624 8162.8
-3395.82 977.658 8162.8
-3377.83 979.788 8162.8
-3359.97 981.884 8162.8
-3339.96 983.278 8162.8
-3310 981.646 8162.8
-3294.14 984.103 8162.8
-3272.6 984.789 8162.8
-3252.51 985.828 8162.8
-3230.69 986.261 8162.8
-3209.41 986.777 8162.8
-3196.21 989.708 8162.8
-3200.5 998.041 8162.8
-3193.19 1002.76 8162.8
-3198.81 1011.55 8162.8
-3196.48 1017.84 8162.8
-3196.11 1024.75 8162.8
-3200.07 1033.07 8162.8
-3197.76 1039.38 8162.8
-3198.89 1046.81 8162.8
-3202.9 1055.21 8162.8
-3202.16 1062.06 8162.8
-3205.19 1070.17 8162.8
-3194.63 1073.74 8162.8
-3198.99 1082.32 8162.8
-3195.29 1088.18 8162.8
-3204.05 1098.31 8162.8
-3198.36 1103.5 8162.8
-3199.75 1111.14 8162.8
-3198.86 1117.69 8162.8
-3059.54 1075.87 8162.8
-2845.98 1007.16 8162.8
-2823 1005.38 8162.8
-2805.46 1005.45 8162.8
-2792.98 1007.27 8162.8
-2776.51 1007.6 8162.8
-2761.11 1008.26 8162.8
-2748.41 1009.84 8162.8
-2733.32 1010.5 8162.8
-2720.63 1011.99 8162.8
-2705.9 1012.66 8162.8
-2692.35 1013.72 8162.8
-2684.36 1016.84 8162.8
-2668.08 1016.77 8162.8
-2655.54 1018.07 8162.8
-2640.73 1018.44 8162.8
-2626.92 1019.14 8162.8
-2611.9 1019.32 8162.8
-2594.96 1018.69 8162.8
-2586.7 1021.41 8162.8
-2571.41 1021.31 8162.8
-2563.39 1024.06 8162.8
-2549.69 1024.49 8162.8
-2537.9 1025.64 8162.8
-2521.02 1024.68 8162.8
-2509.31 1025.77 8162.8
-2496.22 1026.24 8162.8
-2487.87 1028.61 8162.8
-2474.27 1028.78 8162.8
-2461.54 1029.26 8162.8
-2448.07 1029.37 8162.8
-2441.52 1032.36 8162.8
-2429.22 1032.88 8162.8
-2415.03 1032.55 8162.8
-2406.93 1034.77 8162.8
-2391.15 1033.65 8162.8
-2380.54 1034.71 8162.8
-2367.36 1034.61 8162.8
-2356.36 1035.41 8162.8
-2348.63 1037.61 8162.8
-2336.96 1038.04 8162.8
-2331.14 1040.8 8162.8
-2315.83 1039.51 8162.8
-2301.22 1038.48 8162.8
-2294.53 1040.98 8162.8
-2283.18 1041.33 8162.8
-2275.02 1043.1 8162.8
-2264.64 1043.82 8162.8
-2256.09 1045.34 8162.8
-2243.86 1045.12 8162.8
-2234.8 1046.34 8162.8
-2224.68 1047.02 8162.8
-2212.08 1046.49 8162.8
-2199.2 1045.78 8162.8
-2191.75 1047.61 8162.8
-2176.92 1045.87 8162.8
-2174.32 1049.97 8162.8
-2160.53 1048.63 8162.8
-2152.93 1050.25 8162.8
-2143.92 1051.17 8162.8
-2134.87 1052.02 8162.8
-2123.97 1051.92 8162.8
-2115.09 1052.79 8162.8
-2102.37 1051.7 8162.8
-2096.75 1054.13 8162.8
-2090.17 1056.06 8162.8
-2077.08 1054.66 8162.8
-2067.23 1054.85 8162.8
-2062.18 1057.47 8162.8
-2049.95 1056.37 8162.8
-2043.06 1057.99 8162.8
-2033.41 1058.14 8162.8
-2019.99 1056.29 8162.8
-2017.99 1060.38 8162.8
-2006.31 1059.36 8162.8
-1995.46 1058.74 8162.8
-1988.55 1060.16 8162.8
-1981.08 1061.27 8162.8
-1972.08 1061.52 8162.8
-1964.46 1062.48 8162.8
-1953.38 1061.53 8162.8
-1949.18 1064.29 8162.8
-1939.32 1063.95 8162.8
-1932.41 1064.97 8162.8
-1924.59 1065.68 8162.8
-1911.48 1063.41 8162.8
-1902.59 1063.44 8162.8
-1898.67 1066.23 8162.8
-1893.59 1068.36 8162.8
-1879.66 1065.45 8162.8
-1877.91 1069.42 8162.8
-1865.46 1067.27 8162.8
-1856.77 1067.22 8162.8
-1854.15 1070.65 8162.8
-1845.74 1070.71 8162.8
-1840.35 1072.5 8162.8
-1829.04 1070.81 8162.8
-1821.46 1071.26 8162.8
-1815.33 1072.54 8162.8
-1806.85 1072.4 8162.8
-1802.39 1074.63 8162.8
-1791.66 1073.09 8162.8
-1781.7 1071.96 8162.8
-1776.08 1073.41 8162.8
-1766.83 1072.64 8162.8
-1761.75 1074.38 8162.8
-1751.23 1072.77 8162.8
-1747.54 1075.31 8162.8
-1742.57 1077.06 8162.8
-1732.56 1075.65 8162.8
-1726.54 1076.7 8162.8
-1722.48 1078.95 8162.8
-1712.01 1077.16 8162.8
-1705.63 1077.9 8162.8
-1703.32 1081.21 8162.8
-1690.56 1077.85 8162.8
-1684.72 1078.87 8162.8
